t_rosco,torque_offset_nm,gen_tq_meas_nm,f_grid_hz
0.0,0.0,0.0,50.0
0.0,0.0,0.0,50.0
0.0,0.0,0.0,50.0
0.01,0.0,19786770.0,50.0
0.02,0.0,19786830.0,50.0
0.03,0.0,19787160.0,50.0
0.04,0.0,19788000.0,50.0
0.05,0.0,19789570.0,50.0
0.06,0.0,19792050.0,50.0
0.07,0.0,19795580.0,50.0
0.08,0.0,19800260.0,50.0
0.09,0.0,19806150.0,50.0
0.1,0.0,19813240.0,50.0
0.11,0.0,19821470.0,50.0
0.12,0.0,19830770.0,50.0
0.13,0.0,19841000.0,50.0
0.14,0.0,19851980.0,50.0
0.15,0.0,19863520.0,50.0
0.16,0.0,19875390.0,50.0
0.17,0.0,19887380.0,50.0
0.18,0.0,19899230.0,50.0
0.19,0.0,19910740.0,50.0
0.2,0.0,19921670.0,50.0
0.21,0.0,19931840.0,50.0
0.22,0.0,19941090.0,50.0
0.23,0.0,19949290.0,50.0
0.24,0.0,19956360.0,50.0
0.25,0.0,19962240.0,50.0
0.26,0.0,19966930.0,50.0
0.27,0.0,19970470.0,50.0
0.28,0.0,19972950.0,50.0
0.29,0.0,19974480.0,50.0
0.3,0.0,19975210.0,50.0
0.31,0.0,19975310.0,50.0
0.32,0.0,19974970.0,50.0
0.33,0.0,19974390.0,50.0
0.34,0.0,19973780.0,50.0
0.35,0.0,19973330.0,50.0
0.36,0.0,19973230.0,50.0
0.37,0.0,19973640.0,50.0
0.38,0.0,19974720.0,50.0
0.39,0.0,19976560.0,50.0
0.4,0.0,19979250.0,50.0
0.41,0.0,19982840.0,50.0
0.42,0.0,19987320.0,50.0
0.43,0.0,19992670.0,50.0
0.44,0.0,19998830.0,50.0
0.45,0.0,20005700.0,50.0
0.46,0.0,20013160.0,50.0
0.47,0.0,20021070.0,50.0
0.48,0.0,20029270.0,50.0
0.49,0.0,20037580.0,50.0
0.5,0.0,20045850.0,50.0
0.51,0.0,20053890.0,50.0
0.52,0.0,20061540.0,50.0
0.53,0.0,20068670.0,50.0
0.54,0.0,20075150.0,50.0
0.55,0.0,20080880.0,50.0
0.56,0.0,20085780.0,50.0
0.57,0.0,20089830.0,50.0
0.58,0.0,20093010.0,50.0
0.59,0.0,20095350.0,50.0
0.6,0.0,20096900.0,50.0
0.61,0.0,20097730.0,50.0
0.62,0.0,20097970.0,50.0
0.63,0.0,20097720.0,50.0
0.64,0.0,20097130.0,50.0
0.65,0.0,20096350.0,50.0
0.66,0.0,20095510.0,50.0
0.67,0.0,20094780.0,50.0
0.68,0.0,20094290.0,50.0
0.69,0.0,20094170.0,50.0
0.7,0.0,20094520.0,50.0
0.71,0.0,20095430.0,50.0
0.72,0.0,20096960.0,50.0
0.73,0.0,20099160.0,50.0
0.74,0.0,20102020.0,50.0
0.75,0.0,20105540.0,50.0
0.76,0.0,20109670.0,50.0
0.77,0.0,20114350.0,50.0
0.78,0.0,20119490.0,50.0
0.79,0.0,20124990.0,50.0
0.8,0.0,20130740.0,50.0
0.81,0.0,20136600.0,50.0
0.82,0.0,20142460.0,50.0
0.83,0.0,20148190.0,50.0
0.84,0.0,20153660.0,50.0
0.85,0.0,20158780.0,50.0
0.86,0.0,20163440.0,50.0
0.87,0.0,20167580.0,50.0
0.88,0.0,20171130.0,50.0
0.89,0.0,20174070.0,50.0
0.9,0.0,20176380.0,50.0
0.91,0.0,20178070.0,50.0
0.92,0.0,20179180.0,50.0
0.93,0.0,20179770.0,50.0
0.94,0.0,20179910.0,50.0
0.95,0.0,20179690.0,50.0
0.96,0.0,20179210.0,50.0
0.97,0.0,20178560.0,50.0
0.98,0.0,20177880.0,50.0
0.99,0.0,20177250.0,50.0
1.0,0.0,20176790.0,50.0
1.01,0.0,20176590.0,50.0
1.02,0.0,20176730.0,50.0
1.03,0.0,20177280.0,50.0
1.04,0.0,20178280.0,50.0
1.05,0.0,20179780.0,50.0
1.06,0.0,20181770.0,50.0
1.07,0.0,20184260.0,50.0
1.08,0.0,20187210.0,50.0
1.09,0.0,20190580.0,50.0
1.1,0.0,20194310.0,50.0
1.11,0.0,20198330.0,50.0
1.12,0.0,20202550.0,50.0
1.13,0.0,20206890.0,50.0
1.14,0.0,20211250.0,50.0
1.15,0.0,20215540.0,50.0
1.16,0.0,20219670.0,50.0
1.17,0.0,20223560.0,50.0
1.18,0.0,20227140.0,50.0
1.19,0.0,20230350.0,50.0
1.2,0.0,20233150.0,50.0
1.21,0.0,20235510.0,50.0
1.22,0.0,20237420.0,50.0
1.23,0.0,20238890.0,50.0
1.24,0.0,20239930.0,50.0
1.25,0.0,20240590.0,50.0
1.26,0.0,20240920.0,50.0
1.27,0.0,20240980.0,50.0
1.28,0.0,20240830.0,50.0
1.29,0.0,20240570.0,50.0
1.3,0.0,20240260.0,50.0
1.31,0.0,20239990.0,50.0
1.32,0.0,20239830.0,50.0
1.33,0.0,20239860.0,50.0
1.34,0.0,20240130.0,50.0
1.35,0.0,20240700.0,50.0
1.36,0.0,20241610.0,50.0
1.37,0.0,20242880.0,50.0
1.38,0.0,20244520.0,50.0
1.39,0.0,20246530.0,50.0
1.4,0.0,20248890.0,50.0
1.41,0.0,20251580.0,50.0
1.42,0.0,20254540.0,50.0
1.43,0.0,20257730.0,50.0
1.44,0.0,20261090.0,50.0
1.45,0.0,20264560.0,50.0
1.46,0.0,20268060.0,50.0
1.47,0.0,20271530.0,50.0
1.48,0.0,20274910.0,50.0
1.49,0.0,20278120.0,50.0
1.5,0.0,20281130.0,50.0
1.51,0.0,20283880.0,50.0
1.52,0.0,20286350.0,50.0
1.53,0.0,20288500.0,50.0
1.54,0.0,20290330.0,50.0
1.55,0.0,20291840.0,50.0
1.56,0.0,20293040.0,50.0
1.57,0.0,20293970.0,50.0
1.58,0.0,20294640.0,50.0
1.59,0.0,20295120.0,50.0
1.6,0.0,20295450.0,50.0
1.61,0.0,20295680.0,50.0
1.62,0.0,20295880.0,50.0
1.63,0.0,20296090.0,50.0
1.64,0.0,20296390.0,50.0
1.65,0.0,20296820.0,50.0
1.66,0.0,20297420.0,50.0
1.67,0.0,20298240.0,50.0
1.68,0.0,20299300.0,50.0
1.69,0.0,20300630.0,50.0
1.7,0.0,20302240.0,50.0
1.71,0.0,20304130.0,50.0
1.72,0.0,20306280.0,50.0
1.73,0.0,20308670.0,50.0
1.74,0.0,20311280.0,50.0
1.75,0.0,20314080.0,50.0
1.76,0.0,20317010.0,50.0
1.77,0.0,20320030.0,50.0
1.78,0.0,20323090.0,50.0
1.79,0.0,20326140.0,50.0
1.8,0.0,20329140.0,50.0
1.81,0.0,20332030.0,50.0
1.82,0.0,20334780.0,50.0
1.83,0.0,20337360.0,50.0
1.84,0.0,20339730.0,50.0
1.85,0.0,20341890.0,50.0
1.86,0.0,20343810.0,50.0
1.87,0.0,20345500.0,50.0
1.88,0.0,20346970.0,50.0
1.89,0.0,20348230.0,50.0
1.9,0.0,20349310.0,50.0
1.91,0.0,20350250.0,50.0
1.92,0.0,20351060.0,50.0
1.93,0.0,20351810.0,50.0
1.94,0.0,20352520.0,50.0
1.95,0.0,20353240.0,50.0
1.96,0.0,20354010.0,50.0
1.97,0.0,20354880.0,50.0
1.98,0.0,20355870.0,50.0
1.99,0.0,20357010.0,50.0
2.0,0.0,20358330.0,50.0
2.01,0.0,20359850.0,50.0
2.02,0.0,20361570.0,50.0
2.03,0.0,20363500.0,50.0
2.04,0.0,20365630.0,50.0
2.05,0.0,20367940.0,50.0
2.06,0.0,20370410.0,50.0
2.07,0.0,20373030.0,50.0
2.08,0.0,20375750.0,50.0
2.09,0.0,20378550.0,50.0
2.1,0.0,20381390.0,50.0
2.11,0.0,20384240.0,50.0
2.12,0.0,20387040.0,50.0
2.13,0.0,20389790.0,50.0
2.14,0.0,20392430.0,50.0
2.15,0.0,20394960.0,50.0
2.16,0.0,20397340.0,50.0
2.17,0.0,20399560.0,50.0
2.18,0.0,20401620.0,50.0
2.19,0.0,20403500.0,50.0
2.2,0.0,20405230.0,50.0
2.21,0.0,20406800.0,50.0
2.22,0.0,20408240.0,50.0
2.23,0.0,20409570.0,50.0
2.24,0.0,20410800.0,50.0
2.25,0.0,20411980.0,50.0
2.26,0.0,20413130.0,50.0
2.27,0.0,20414270.0,50.0
2.28,0.0,20415460.0,50.0
2.29,0.0,20416700.0,50.0
2.3,0.0,20418030.0,50.0
2.31,0.0,20419470.0,50.0
2.32,0.0,20421040.0,50.0
2.33,0.0,20422750.0,50.0
2.34,0.0,20424610.0,50.0
2.35,0.0,20426620.0,50.0
2.36,0.0,20428770.0,50.0
2.37,0.0,20431070.0,50.0
2.38,0.0,20433480.0,50.0
2.39,0.0,20436010.0,50.0
2.4,0.0,20438610.0,50.0
2.41,0.0,20441280.0,50.0
2.42,0.0,20443980.0,50.0
2.43,0.0,20446690.0,50.0
2.44,0.0,20449380.0,50.0
2.45,0.0,20452030.0,50.0
