t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_YawBrTAyp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor,zmq_torque_offset_nm
0.0,0.066449999984766,0.15000000420644488,0.066449999984766,0.024330027732151954,1.000001703598206,1.0,50.0,1.0500000001035457,3.5483211897899256,1.0620572147669756,0.33697173308566086,-16.561396912352375,0.40822772490817627,-0.00016535195539560147,7.56,7.56,19786.768,10.5,13.0,0.0,-4.287381599525796e-16,1.7423184319237213e-14,0.0,1.0,1.0,0.0
0.01,0.08586891709653507,0.14999999169292025,0.08586891709653507,0.023379309239035428,0.9909605516326699,1.000008424925325,50.00042124626625,1.0500428188106004,4.807874679160943,1.0619628132691608,0.42376717567593947,-10.422718057049341,0.38922813539178797,0.003542767473139089,7.56,7.56,19786.768,10.5,13.0,0.0,-4.287381599525796e-16,1.7423184319237213e-14,0.0,1.0,1.0,-0.0
0.02,0.10104065147785288,0.14999982334240758,0.10104065147785288,0.02235763327382962,0.9670869117473783,1.0000308748431468,50.00154374215734,1.0500017166914781,5.7632668955066055,1.061738947445994,0.4927833392929046,-6.713738587997365,0.3748694844301932,0.007222959305397392,7.5579665490861565,7.5579665490861565,19786.768,10.5,13.0,0.0,-0.270722145317254,19754.912680340713,0.0,1.0,1.0,-0.0
0.03,0.11258764742699885,0.14999914616388196,0.11258764742699885,0.021427847319449463,0.9333176800232518,1.0000637793986986,50.00318896993493,1.0498641366082306,6.493040992923551,1.0614244256441823,0.5458258603700419,-4.282702539095207,0.3641579339011347,0.010473275103102017,7.5559523732174565,7.5559523732174565,19786.768,10.500000876567357,13.0,0.0,-0.27017136749523685,19755.66861916712,0.0,1.0,1.0,-0.0
0.04,0.12119142606587141,0.14999747726516457,0.12119142606587141,0.020627511330264588,0.8943652587852864,1.0001043458132528,50.00521729066264,1.0496523931159334,7.058311419996295,1.0610498948273277,0.5855955608448734,-2.6012065046031125,0.3562730741167722,0.013170453820855112,7.553897115796618,7.553897115796618,19786.77,10.500110136800368,13.0,0.0,-0.27164453890102586,19754.322852498146,0.0,1.0,1.0,-0.0
0.05,0.12748261481482626,0.14999427702192863,0.12748261481482626,0.01994854143792231,0.8545032591470523,1.0001504123040599,50.00752061520299,1.0494031922873344,7.505723546681234,1.0606485530227816,0.6147968451895558,-1.3878262629247524,0.3505602091000886,0.01532785196419144,7.5498207126125125,7.5498207126125125,19786.778000000002,10.500031881814031,13.0,0.0,-0.2708144763814783,19754.93030676348,0.0,1.0,1.0,-0.0
0.060000000000000005,0.1319990661158467,0.14998886305454356,0.1319990661158467,0.019371186044565267,0.8174295585469991,1.0002003166210351,50.01001583105176,1.049154480621072,7.870313615345819,1.0602541543481794,0.6358114154949158,-0.4783893013152721,0.3465055788265107,0.017014816605312004,7.5498207126125125,7.5498207126125125,19786.778000000002,10.500031881814031,13.0,0.0,-0.2708144763814783,19754.93030676348,0.0,1.0,1.0,-0.0
0.07,0.1351777730328247,0.1499809211433649,0.1351777730328247,0.018876183821177454,0.7862243603896829,1.0002527865371902,50.01263932685951,1.0489389212339302,8.178036884898326,1.0598971343318664,0.6506067217854229,0.22867426128744744,0.3437108547867643,0.018315438555714988,7.5457370710395235,7.5457370710395235,19786.798,10.500016513888399,13.0,0.0,-0.27035755579411314,19754.938251025607,0.0,1.0,1.0,-0.0
0.08,0.1373620367995131,0.14996971722277114,0.1373620367995131,0.018447372984462904,0.7632616729919881,1.0003068506457873,50.01534253228937,1.0487820218199846,8.447911994154191,1.059602248210422,0.6607436821720913,0.7989998648183592,0.34187169744062984,0.019310067604245994,7.5457370710395235,7.5457370710395235,19786.798,10.500016513888399,13.0,0.0,-0.27035755579411314,19754.938251025607,0.0,1.0,1.0,-0.0
0.09,0.13881524472411924,0.14995520844582602,0.13881524472411924,0.01807198025140449,0.7502300911688166,1.0003617666253655,50.018088331268274,1.0487022685690002,8.693726992480915,1.0593880455599614,0.6674281026584254,1.2762626384996383,0.34075811225605585,0.02006782546262615,7.54369551155936,7.54369551155936,19786.812,10.500005414830998,13.0,0.0,-0.27001480534280436,19754.952358956732,0.0,1.0,1.0,-0.0
0.09999999999999999,0.13973628864464138,0.14993718757552052,0.13973628864464138,0.017740228292167058,0.7481009780665855,1.0004169652938883,50.020848264694415,1.0487120198086304,8.925382284209196,1.0592673257683807,0.6715756589716694,1.6900995000260792,0.34019727591674265,0.020644817845526,7.541654446345031,7.541654446345031,19786.832000000002,10.49998663181078,13.0,0.0,-0.2695990464034544,19754.966505096698,0.0,1.0,1.0,-0.0
0.10999999999999999,0.1402735088228701,0.14991564428366433,0.1402735088228701,0.01744476690256307,0.7571557274482185,1.000472007868558,50.023600393427905,1.0488186242182633,9.149902461757481,1.0592479973684836,0.6738728752138299,2.0608519796321128,0.3400597826437347,0.021084930432028928,7.539614079820514,7.539614079820514,19786.854,10.499970410111501,13.0,0.0,-0.26911270164018575,19754.998427440736,0.0,1.0,1.0,-0.0
0.11999999999999998,0.1405365413347325,0.14989081254800665,0.1405365413347325,0.017180109291151293,0.7770268386454499,1.0005265537036265,50.02632768518133,1.0490255072829842,9.3722044677148,1.059334025656545,0.6748298816908064,2.402573578103903,0.34024879968737104,0.021421678916787465,7.537574613670782,7.537574613670782,19786.884000000002,10.499942235581175,13.0,0.0,-0.268557395416886,19755.02233969125,0.0,1.0,1.0,-0.0
