t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_YawBrTAyp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor,zmq_torque_offset_nm
0.0,0.066449999984766,0.15000000420644488,0.066449999984766,0.024330027732151954,1.000001703598206,1.0,50.0,1.0500000001035457,3.5483211897899256,1.0620572147669756,0.33697173308566086,-16.561396912352375,0.40822772490817627,-0.00016535195539560147,7.56,7.56,19786.768,10.5,13.0,0.0,-4.287381599525796e-16,1.7423184319237213e-14,0.0,1.0,1.0,0.0
0.01,0.08490285040205936,0.14999999169292025,0.08490285040205936,0.024117530634976278,0.9912501525418606,1.0000084650484848,50.00042325242424,1.0496000526075497,4.839396632347221,1.0618595110972793,0.42045454439276786,-11.018347745304911,0.3891074447865902,0.0026439510202333483,7.56,7.56,19786.768,10.5,13.0,0.0,-4.287381599525796e-16,1.7423184319237213e-14,0.0,1.0,1.0,-0.0
0.02,0.09845232131628173,0.14999983020526667,0.09845232131628173,0.024246559246803842,0.9689282083923024,1.0000311892478109,50.001559462390546,1.0485051098246472,5.87541315138467,1.061106692926676,0.4835172384297602,-7.959899983397419,0.3742956455624453,0.004829012784082555,7.5579665490861565,7.5579665490861565,19786.768,10.5,13.0,0.0,-0.270722145317254,19754.912680340713,0.0,1.0,1.0,-0.0
0.03,0.1085976856688575,0.14999918965794168,0.1085976856688575,0.024221897266718636,0.9379898358449331,1.0000648825635057,50.00324412817528,1.0470133295084145,6.716335379707287,1.0598500555310792,0.53135023988114,-5.857250279836063,0.3628261861231934,0.006814030175555391,7.5559523732174565,7.5559523732174565,19786.768,10.500000876567357,13.0,0.0,-0.27017136749523685,19755.66861916712,0.0,1.0,1.0,-0.0
0.04,0.11627476152307185,0.1499976287387521,0.11627476152307185,0.023939646992255162,0.9026437385705739,1.0001069709435786,50.005348547178926,1.0453520947327517,7.408421298907101,1.0582649974126421,0.5678165015541738,-4.225555662162901,0.35397535362623866,0.008711634597828755,7.553897115796618,7.553897115796618,19786.77,10.500110136800368,13.0,0.0,-0.27164453890102586,19754.322852498146,0.0,1.0,1.0,-0.0
0.05,0.12211274572050523,0.1499946605241976,0.12211274572050523,0.023427207591316633,0.8665407706399075,1.0001554187150592,50.00777093575296,1.0436899858543456,7.987312932610717,1.0565340802588232,0.5956734495004117,-2.872867852759982,0.3471982839305162,0.010530684692331326,7.5498207126125125,7.5498207126125125,19786.778000000002,10.500031881814031,13.0,0.0,-0.2708144763814783,19754.93030676348,0.0,1.0,1.0,-0.0
0.060000000000000005,0.12655951375999192,0.14998965701369124,0.12655951375999192,0.022747936213979032,0.8328109424695069,1.0002086003706203,50.01043001853102,1.0421466977877014,8.48042226944055,1.054809831340577,0.6169363313135807,-1.7091780734175261,0.3420764882513007,0.012252333671340328,7.5498207126125125,7.5498207126125125,19786.778000000002,10.500031881814031,13.0,0.0,-0.2708144763814783,19754.93030676348,0.0,1.0,1.0,-0.0
0.07,0.1299450158133724,0.14998235147574623,0.1299450158133724,0.02196624875751985,0.8040891307874559,1.0002652083916557,50.013260419582785,1.0408025955933398,8.908808169368227,1.0532068065840403,0.6331102339718468,-0.6859168548302689,0.33828412504771876,0.013856417891386624,7.5457370710395235,7.5457370710395235,19786.798,10.500016513888399,13.0,0.0,-0.27035755579411314,19754.938251025607,0.0,1.0,1.0,-0.0
0.08,0.1325166038660207,0.14997204379952234,0.1325166038660207,0.02113545526521754,0.7824454927433164,1.0003241840931463,50.016209204657315,1.0397079347834555,9.288658756462473,1.051804443462717,0.6453326561564915,0.22671445106176705,0.33556668744369855,0.01532971347441811,7.5457370710395235,7.5457370710395235,19786.798,10.500016513888399,13.0,0.0,-0.27035755579411314,19754.938251025607,0.0,1.0,1.0,-0.0
0.09,0.13446138769926094,0.14995870714699663,0.13446138769926094,0.020295428555155075,0.7694030470900812,1.0003846639663978,50.01923319831989,1.0388907278982351,9.63241762400402,1.0506534516332728,0.6544694309767518,1.0490586009228913,0.3337250624180473,0.01666683217028133,7.54369551155936,7.54369551155936,19786.812,10.500005414830998,13.0,0.0,-0.27001480534280436,19754.952358956732,0.0,1.0,1.0,-0.0
0.09999999999999999,0.135921857128154,0.14994213006342494,0.135921857128154,0.01947395530228996,0.765892883621489,1.0004459381123916,50.02229690561958,1.0383630285793854,9.949661064935462,1.0497825384994084,0.6611840678221479,1.796200221933265,0.3326028764714516,0.017868792826576725,7.541654446345031,7.541654446345031,19786.832000000002,10.49998663181078,13.0,0.0,-0.2695990464034544,19754.966505096698,0.0,1.0,1.0,-0.0
0.10999999999999999,0.1370069451512537,0.1499222774315405,0.1370069451512537,0.018689140977213047,0.7722642702080285,1.0005074181206666,50.02537090603333,1.0381257766297576,10.247754618555973,1.0492042999252347,0.6659875300072493,2.4799709858191012,0.332076829562611,0.01894108565302289,7.539614079820514,7.539614079820514,19786.854,10.499970410111501,13.0,0.0,-0.26911270164018575,19754.998427440736,0.0,1.0,1.0,-0.0
0.11999999999999998,0.13780027778261947,0.14989933916760198,0.13780027778261947,0.017951834376351398,0.7883068132921696,1.000568612262995,50.02843061314975,1.0381724161271988,10.532359984793151,1.0489199674048268,0.669275581267235,3.109993500242691,0.33204909027474505,0.019891972346883773,7.537574613670782,7.537574613670782,19786.884000000002,10.499942235581175,13.0,0.0,-0.268557395416886,19755.02233969125,0.0,1.0,1.0,-0.0
0.12999999999999998,0.13836635114688609,0.14987357342567706,0.13836635114688609,0.017267703975122294,0.8132910520800085,1.000629106408264,50.0314553204132,1.038491524315455,10.807823365543399,1.0489230426626646,0.671356788789838,3.694260038304015,0.3324413842302099,0.02073116964118676,7.535536218349565,7.535536218349565,19786.918,10.49991149972991,13.0,0.0,-0.26793483835023285,19755.071411709774,0.0,1.0,1.0,-0.0
0.13999999999999999,0.13875514093813804,0.14984541480800662,0.13875514093813804,0.01663887927500691,0.8460280264110015,1.0006885493558495,50.034427467792476,1.039068675960351,11.077470339319236,1.0492019812100335,0.6724734000728914,4.239474961937668,0.33319045793571195,0.02146889745021746,7.533499069696001,7.533499069696001,19786.958,10.499875641236766,13.0,0.0,-0.26724615124491613,19755.112102463732,0.0,1.0,1.0,-0.0
0.15,0.13900560138592216,0.14981539396900356,0.13900560138592216,0.016065186553549392,0.8849458150440203,1.0007466415752497,50.03733207876249,1.039887729793959,11.343833704468771,1.0497421144018833,0.6728171831451057,4.751281302761193,0.3342445566275509,0.02211524449743537,7.531463324838602,7.531463324838602,19787.004,10.499832098780807,13.0,0.0,-0.26649275388181015,19755.16790056637,0.0,1.0,1.0,-0.0
0.16,0.13914828831163417,0.1497841274746594,0.13914828831163417,0.015545044175084819,0.9281799755593454,1.0008031265681765,50.04015632840883,1.0409316921893466,11.608827414419038,1.050526986722099,0.6725412888553072,5.234421726605567,0.3355607339162721,0.022679766732994218,7.529429133470888,7.529429133470888,19787.056,10.499780872362033,13.0,0.0,-0.2656754409223746,19755.22874544755,0.0,1.0,1.0,-0.0
0.17,0.13920733943747177,0.14975283334922374,0.13920733943747177,0.015076089858634196,0.9736740105893776,1.0008577842346207,50.04288921173104,1.0421832778716131,11.873880548172009,1.0515392589814843,0.6717692048222303,5.692864537895618,0.33710278955027395,0.02317125948784763,7.5253659724008495,7.5253659724008495,19787.186,10.499659636504266,13.0,0.0,-0.2638529352460103,19755.38313375759,0.0,1.0,1.0,-0.0
