t_rosco,torque_offset_nm,gen_tq_meas_nm,f_grid_hz
0.0,0.0,0.0,50.0
0.0,0.0,0.0,50.0
0.0,0.0,0.0,50.0
0.01,-0.0,19786770.0,50.001559462390546
0.02,-0.0,19786770.0,50.00324412817528
0.03,-0.0,19786770.0,50.005348547178926
0.04,-0.0,19786770.0,50.00777093575296
0.05,-0.0,19786770.0,50.00777093575296
0.06,-0.0,19786780.0,50.013260419582785
0.07,-0.0,19786790.0,50.013260419582785
0.08,-0.0,19786800.0,50.01923319831989
0.09,-0.0,19786810.0,50.02229690561958
0.1,-0.0,19786830.0,50.02537090603333
0.11,-0.0,19786850.0,50.02843061314975
0.12,-0.0,19786880.0,50.0314553204132
0.13,-0.0,19786920.0,50.034427467792476
0.14,-0.0,19786960.0,50.03733207876249
0.15,-0.0,19787000.0,50.04015632840883
0.16,-0.0,19787060.0,50.04288921173104
0.17,-0.0,19787120.0,50.04288921173104
0.18,-0.0,19787190.0,50.04804449381509
0.19,-0.0,19787260.0,50.04804449381509
0.2,-0.0,19787350.0,50.05045196252731
0.21,-0.0,19787440.0,50.05273794043785
0.22,-0.0,19787540.0,50.054897727408374
0.23,-0.0,19787660.0,50.05692770584835
0.24,-0.0,19787780.0,50.058825358357915
0.25,-0.0,19787910.0,50.060589252852864
0.26,-0.0,19788060.0,50.06221901398412
0.27,-0.0,19788210.0,50.06371530757752
0.28,-0.0,19788380.0,50.06507982634937
0.29,-0.0,19788560.0,50.066315259300865
0.3,-0.0,19788750.0,50.06742524635024
0.31,-0.0,19788960.0,50.06841432310956
0.32,-0.0,19789180.0,50.069287858223696
0.33,-0.0,19789410.0,50.07005198467465
0.34,-0.0,19789650.0,50.07071352628132
0.35,-0.0,19789910.0,50.07127992037718
0.36,-0.0,19790180.0,50.071759137008655
0.37,-0.0,19790470.0,50.07215959567573
0.38,-0.0,19790770.0,50.072490080496316
0.39,-0.0,19791090.0,50.07275965417627
0.4,-0.0,19791420.0,50.07297757147919
0.41,-0.0,19791770.0,50.07315319321039
0.42,-0.0,19792130.0,50.073295901416934
0.43,-0.0,19792510.0,50.07341501639628
0.44,-0.0,19792910.0,50.07351971639788
0.45,-0.0,19793320.0,50.07361896044694
0.46,-0.0,19793750.0,50.07372141523315
0.47,-0.0,19794200.0,50.073835386654544
0.48,-0.0,19794660.0,50.073968756184826
0.49,-0.0,19795150.0,50.07412892289296
0.5,-0.0,19795650.0,50.07432275154884
0.51,-0.0,19796170.0,50.07455652675035
0.52,-0.0,19796700.0,50.07483591364492
0.53,-0.0,19797260.0,50.0751659255305
0.54,-0.0,19797830.0,50.07555089829088
0.55,-0.0,19798420.0,50.07599447161903
0.56,-0.0,19799030.0,50.07649957711572
0.57,-0.0,19799660.0,50.07706843312777
0.58,-0.0,19800310.0,50.07770254618645
0.59,-0.0,19800980.0,50.0784027188554
0.6,-0.0,19801670.0,50.0791690634742
0.61,-0.0,19802380.0,50.08000102171404
0.62,-0.0,19803110.0,50.08089738957737
0.63,-0.0,19803860.0,50.08185634700656
0.64,-0.0,19804630.0,50.08287549201004
0.65,-0.0,19805420.0,50.083951878646985
0.66,-0.0,19806230.0,50.08508205840706
0.67,-0.0,19807060.0,50.086262124533235
0.68,-0.0,19807910.0,50.08748775830302
0.69,-0.0,19808780.0,50.088754277252555
0.7,-0.0,19809670.0,50.090056684718384
0.71,-0.0,19810590.0,50.091389719817116
0.72,-0.0,19811520.0,50.09274790772306
0.73,-0.0,19812480.0,50.094125609657155
0.74,-0.0,19813460.0,50.09551707219023
0.75,-0.0,19814460.0,50.09691647551438
0.76,-0.0,19815480.0,50.098317980115446
0.77,-0.0,19816520.0,50.09971577188398
0.78,-0.0,19817590.0,50.10110410511046
0.79,-0.0,19818670.0,50.10247734323083
0.8,-0.0,19819780.0,50.10382999734363
0.81,-0.0,19820910.0,50.105156762141625
0.82,-0.0,19822060.0,50.10645254918747
0.83,-0.0,19823230.0,50.10771251773459
0.84,-0.0,19824430.0,50.10893210285351
0.85,-0.0,19825650.0,50.11010704076868
0.86,-0.0,19826890.0,50.11123339166175
0.87,-0.0,19828150.0,50.11230755981012
0.88,-0.0,19829430.0,50.113326311355635
0.89,-0.0,19830740.0,50.114286789524954
0.9,-0.0,19832070.0,50.11518652731702
0.91,-0.0,19833420.0,50.1160234576674
0.92,-0.0,19834790.0,50.11679592123897
0.93,-0.0,19836190.0,50.117502672019576
0.94,-0.0,19837600.0,50.118142880232405
0.95,-0.0,19839040.0,50.11871613292501
0.96,-0.0,19840500.0,50.119222432127295
0.97,-0.0,19841990.0,50.11966219034968
0.98,-0.0,19843490.0,50.12003622361342
0.99,-0.0,19845020.0,50.12034574188407
1.0,-0.0,19846570.0,50.12059233687799
1.01,-0.0,19848140.0,50.12077796722721
1.02,-0.0,19849740.0,50.12090494108586
1.03,-0.0,19851360.0,50.12097589595916
1.04,-0.0,19853000.0,50.12099377612097
1.05,-0.0,19854660.0,50.120961807646914
1.06,-0.0,19856340.0,50.120883470944634
1.07,-0.0,19858050.0,50.12076247145705
1.08,-0.0,19859770.0,50.12060270838224
1.09,-0.0,19861520.0,50.120408241837566
1.1,-0.0,19863290.0,50.12018325871443
1.11,-0.0,19865090.0,50.11993203763182
1.12,-0.0,19866900.0,50.11965891329634
1.13,-0.0,19868740.0,50.11936824064711
1.14,-0.0,19870590.0,50.11906435937787
1.15,-0.0,19872470.0,50.1187515590076
1.16,-0.0,19874380.0,50.11843404498892
1.17,-0.0,19876300.0,50.11811590616103
1.18,-0.0,19878240.0,50.11780108408212
1.19,-0.0,19880210.0,50.117493344523325
1.2,-0.0,19882190.0,50.117196251192084
1.21,-0.0,19884200.0,50.11691314219373
1.22,-0.0,19886230.0,50.11664710937877
1.23,-0.0,19888280.0,50.11640098049883
1.24,-0.0,19890350.0,50.11617730452526
1.25,-0.0,19892450.0,50.11597834004612
1.26,-0.0,19894560.0,50.115806046685016
1.27,-0.0,19896690.0,50.11566207970208
1.28,-0.0,19898850.0,50.115547787410804
1.29,-0.0,19901020.0,50.11546421139415
1.3,-0.0,19903220.0,50.11541208931869
1.31,-0.0,19905430.0,50.11539186011077
1.32,-0.0,19907670.0,50.115403671429014
1.33,-0.0,19909930.0,50.115447389126444
1.34,-0.0,19912200.0,50.1155226084806
1.35,-0.0,19914500.0,50.115628666972675
1.36,-0.0,19916820.0,50.115764658478824
1.37,-0.0,19919150.0,50.115929448422
1.38,-0.0,19921510.0,50.11612168991808
1.39,-0.0,19923880.0,50.11633984084452
1.4,-0.0,19926280.0,50.11658218137307
1.41,-0.0,19928690.0,50.116846832173515
1.42,-0.0,19931130.0,50.117131772800384
1.43,-0.0,19933580.0,50.1174348604891
1.44,-0.0,19936050.0,50.117753849164394
1.45,-0.0,19938540.0,50.118086408427956
1.46,-0.0,19941050.0,50.118430142578795
1.47,-0.0,19943580.0,50.1187826097917
1.48,-0.0,19946130.0,50.119141341060654
1.49,-0.0,19948690.0,50.1195038589472
1.5,-0.0,19951280.0,50.11986769621486
1.51,-0.0,19953880.0,50.12023041399275
1.52,-0.0,19956500.0,50.120589619612886
1.53,-0.0,19959140.0,50.120942983934505
1.54,-0.0,19961790.0,50.12128825805098
1.55,-0.0,19964470.0,50.12162328926647
1.56,-0.0,19967160.0,50.12194603622409
1.57,-0.0,19969870.0,50.1222545829875
1.58,-0.0,19972590.0,50.122547152128824
1.59,-0.0,19975340.0,50.122822116582135
1.6,-0.0,19978100.0,50.123078010181224
1.61,-0.0,19980870.0,50.12331353674519
1.62,-0.0,19983670.0,50.12352757765156
1.63,-0.0,19986480.0,50.123719197789185
1.64,-0.0,19989300.0,50.123887649788834
1.65,-0.0,19992140.0,50.12403237663917
1.66,-0.0,19995000.0,50.12415301258508
1.67,-0.0,19997880.0,50.12424938239477
1.68,-0.0,20000770.0,50.12432149870296
1.69,-0.0,20003670.0,50.12436955795745
1.7,-0.0,20006590.0,50.124393934925614
1.71,-0.0,20009530.0,50.12439517545465
1.72,-0.0,20012480.0,50.124373988021716
1.73,-0.0,20015450.0,50.12433123424545
1.74,-0.0,20018430.0,50.12426791831312
1.75,-0.0,20021420.0,50.1241851752684
1.76,-0.0,20024430.0,50.12408425875128
1.77,-0.0,20027460.0,50.12396652817832
1.78,-0.0,20030490.0,50.123833435328635
1.79,-0.0,20033550.0,50.12368651071385
1.8,-0.0,20036610.0,50.12352734970528
1.81,-0.0,20039690.0,50.123357598797455
1.82,-0.0,20042780.0,50.123178941829615
1.83,-0.0,20045890.0,50.122993086272025
1.84,-0.0,20049000.0,50.1228017500306
1.85,-0.0,20052140.0,50.122606648573566
1.86,-0.0,20055280.0,50.12240948232094
1.87,-0.0,20058440.0,50.122211924543095
1.88,-0.0,20061600.0,50.122015609872236
1.89,-0.0,20064780.0,50.12182212338247
1.9,-0.0,20067980.0,50.121632990277355
1.91,-0.0,20071180.0,50.12144966614426
1.92,-0.0,20074390.0,50.121273528057586
