t,torque_offset_nm,gen_tq_meas_nm,gen_speed_rpm,rot_speed_rpm
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5969026,0.5969026
0.01,0.0,13602690.0,0.5968058,0.5968058
0.02,0.0,13647690.0,0.5967088,0.5967088
0.03,0.0,13664740.0,0.5966114,0.5966114
0.04,0.0,13664810.0,0.5965142,0.5965142
0.05,0.0,13664890.0,0.5964166,0.5964166
0.06,0.0,13664960.0,0.5963191,0.5963191
0.07,0.0,13665030.0,0.5962215,0.5962215
0.08,0.0,13665100.0,0.5961239,0.5961239
0.09,0.0,13665170.0,0.5960264,0.5960264
0.1,0.0,13665230.0,0.5959288,0.5959288
0.11,0.0,13665290.0,0.5958313,0.5958313
0.12,0.0,13665350.0,0.5957339,0.5957339
0.13,0.0,13665410.0,0.5956364,0.5956364
0.14,0.0,13665460.0,0.5955391,0.5955391
0.15,0.0,13665500.0,0.5954418,0.5954418
0.16,0.0,13665540.0,0.5953446,0.5953446
0.17,0.0,13665580.0,0.5952475,0.5952475
0.18,0.0,13665610.0,0.5951505,0.5951505
0.19,0.0,13665630.0,0.5950536,0.5950536
0.2,0.0,13665650.0,0.5949568,0.5949568
0.21,0.0,13665660.0,0.5948602,0.5948602
0.22,0.0,13665670.0,0.5947636,0.5947636
0.23,0.0,13665670.0,0.5946673,0.5946673
0.24,0.0,13665660.0,0.594571,0.594571
0.25,0.0,13665640.0,0.5944749,0.5944749
0.26,0.0,13665620.0,0.5943789,0.5943789
0.27,0.0,13665590.0,0.5942832,0.5942832
0.28,0.0,13665550.0,0.5941876,0.5941876
0.29,0.0,13665500.0,0.5940921,0.5940921
0.3,0.0,13665440.0,0.5939969,0.5939969
0.31,0.0,13665380.0,0.5939018,0.5939018
0.32,0.0,13665300.0,0.5938069,0.5938069
0.33,0.0,13665220.0,0.5937123,0.5937123
0.34,0.0,13665120.0,0.5936178,0.5936178
0.35,0.0,13665010.0,0.5935236,0.5935236
0.36,0.0,13664900.0,0.5934296,0.5934296
0.37,0.0,13664770.0,0.5933357,0.5933357
0.38,0.0,13664630.0,0.5932422,0.5932422
0.39,0.0,13664480.0,0.5931489,0.5931489
0.4,0.0,13664320.0,0.5930558,0.5930558
0.41,0.0,13664150.0,0.5929629,0.5929629
0.42,0.0,13663960.0,0.5928704,0.5928704
0.43,0.0,13663770.0,0.592778,0.592778
0.44,0.0,13663560.0,0.5926859,0.5926859
0.45,0.0,13663340.0,0.5925941,0.5925941
0.46,0.0,13663100.0,0.5925027,0.5925027
0.47,0.0,13662850.0,0.5924114,0.5924114
0.48,0.0,13662590.0,0.5923204,0.5923204
0.49,0.0,13662320.0,0.5922297,0.5922297
0.5,0.0,13662030.0,0.5921394,0.5921394
0.51,0.0,13661730.0,0.5920492,0.5920492
0.52,0.0,13661410.0,0.5919595,0.5919595
0.53,0.0,13661080.0,0.59187,0.59187
0.54,0.0,13660730.0,0.5917808,0.5917808
0.55,0.0,13660370.0,0.591692,0.591692
0.56,0.0,13660000.0,0.5916034,0.5916034
0.57,0.0,13659610.0,0.5915152,0.5915152
0.58,0.0,13659200.0,0.5914273,0.5914273
0.59,0.0,13658780.0,0.5913398,0.5913398
